eventID,measurementValue,measurementType,measurementTypeID,measurementValueID,measurementUnit,measurementUnitID,measurementID,occurrenceID
IYS2022-TINRO-3-1-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-1-Trawl-Gear_type,NA
IYS2022-TINRO-3-2-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-2-Trawl-Gear_type,NA
IYS2022-TINRO-3-3-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-3-Trawl-Gear_type,NA
IYS2022-TINRO-3-4-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-4-Trawl-Gear_type,NA
IYS2022-TINRO-3-5-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-5-Trawl-Gear_type,NA
IYS2022-TINRO-3-6-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-6-Trawl-Gear_type,NA
IYS2022-TINRO-3-7-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-7-Trawl-Gear_type,NA
IYS2022-TINRO-3-8-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-8-Trawl-Gear_type,NA
IYS2022-TINRO-3-9-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-9-Trawl-Gear_type,NA
IYS2022-TINRO-3-10-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-10-Trawl-Gear_type,NA
IYS2022-TINRO-3-11-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-11-Trawl-Gear_type,NA
IYS2022-TINRO-3-12-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-12-Trawl-Gear_type,NA
IYS2022-TINRO-3-13-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-13-Trawl-Gear_type,NA
IYS2022-TINRO-3-14-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-14-Trawl-Gear_type,NA
IYS2022-TINRO-3-15-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-15-Trawl-Gear_type,NA
IYS2022-TINRO-3-16-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-16-Trawl-Gear_type,NA
IYS2022-TINRO-3-17-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-17-Trawl-Gear_type,NA
IYS2022-TINRO-3-18-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-18-Trawl-Gear_type,NA
IYS2022-TINRO-3-19-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-19-Trawl-Gear_type,NA
IYS2022-TINRO-3-20-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-20-Trawl-Gear_type,NA
IYS2022-TINRO-3-21-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-21-Trawl-Gear_type,NA
IYS2022-TINRO-3-22-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-22-Trawl-Gear_type,NA
IYS2022-TINRO-3-23-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-23-Trawl-Gear_type,NA
IYS2022-TINRO-3-24-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-24-Trawl-Gear_type,NA
IYS2022-TINRO-3-25-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-25-Trawl-Gear_type,NA
IYS2022-TINRO-3-26-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-26-Trawl-Gear_type,NA
IYS2022-TINRO-3-27-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-27-Trawl-Gear_type,NA
IYS2022-TINRO-3-28-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-28-Trawl-Gear_type,NA
IYS2022-TINRO-3-29-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-29-Trawl-Gear_type,NA
IYS2022-TINRO-3-30-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-30-Trawl-Gear_type,NA
IYS2022-TINRO-3-31-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-31-Trawl-Gear_type,NA
IYS2022-TINRO-3-32-Trawl,RT 80/396,Gear_type,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100002/, ,NA,NA,IYS2022-TINRO-3-32-Trawl-Gear_type,NA
IYS2022-TINRO-3-1-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-1-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-2-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-2-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-3-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-3-Trawl-Mesh_Size,NA
IYS2022-TINRO-3-4-Trawl,20,Mesh_Size,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100015/,NA,millimeters,http://vocab.nerc.ac.uk/collection/P06/current/UXMM/,IYS2022-TINRO-3-4-Trawl-Mesh_Size,NA
